age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
30,Local-gov,37311,Assoc-voc,11,Never-married,Other-service,Not-in-family,White,Female,24,0,30,United-States,<=50K
42,Private,98168,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,14,0,40,United-States,<=50K
33,Self-emp-inc,60686,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,8,0,65,United-States,>50K
48,Private,291763,HS-grad,9,Never-married,Exec-managerial,Other-relative,Black,Female,11,0,40,United-States,<=50K
24,Private,282010,Bachelors,10,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Male,2,0,40,Laos,<=50K
38,Private,224012,9th,3,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,1,0,40,Mexico,<=50K
33,Private,265090,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Germany,<=50K
24,Federal-gov,176847,HS-grad,7,Never-married,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Male,0,1,40,United-States,<=50K
28,Private,115592,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,15,0,40,Hong,<=50K
25,Private,221092,Assoc-acdm,12,Never-married,Exec-managerial,Own-child,White,Male,0,2151,40,United-States,<=50K
35,Private,177884,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
31,Self-emp-not-inc,122274,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,21,0,59,United-States,<=50K
58,Private,229959,1st-4th,9,Divorced,Sales,Unmarried,White,Female,22,0,36,United-States,<=50K
45,Private,454773,Some-college,10,Separated,Craft-repair,Not-in-family,White,Male,14,0,40,United-States,<=50K
34,Private,52570,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,5,1,40,United-States,>50K
37,Private,197614,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,7,0,40,England,<=50K
32,?,103672,HS-grad,6,Never-married,Craft-repair,Not-in-family,White,Male,1,0,40,United-States,<=50K
36,Private,127416,HS-grad,13,Married-civ-spouse,Sales,Husband,White,Male,15477,1,59,United-States,>50K
43,Private,119245,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
33,Private,74186,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,22,0,40,United-States,>50K
42,State-gov,210905,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,1,0,23,United-States,<=50K
35,Self-emp-not-inc,271172,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,9,0,58,United-States,>50K
26,Private,171577,HS-grad,9,Never-married,Other-service,Other-relative,White,Male,11,0,37,Laos,<=50K
48,Local-gov,295761,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,46,United-States,<=50K
51,Self-emp-not-inc,69296,12th,15,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
39,Self-emp-not-inc,37999,10th,3,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
44,Private,154164,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,Puerto-Rico,<=50K
41,Private,54997,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,14,0,57,Philippines,<=50K
24,Private,143028,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,23,0,40,Italy,<=50K
50,Private,111752,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,1,0,59,United-States,>50K
40,Private,232665,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,3,0,40,?,<=50K
38,Private,331036,Some-college,10,Widowed,Sales,Not-in-family,White,Female,5,0,40,United-States,<=50K
39,?,195334,HS-grad,9,Divorced,?,Other-relative,Amer-Indian-Eskimo,Female,0,0,16,United-States,<=50K
30,Private,232741,10th,5,Never-married,Priv-house-serv,Not-in-family,Amer-Indian-Eskimo,Male,1,0,40,United-States,<=50K
25,Local-gov,194904,Assoc-acdm,13,Separated,Tech-support,Not-in-family,White,Male,7,0,40,United-States,<=50K
22,Private,185879,11th,5,Never-married,Other-service,Own-child,Black,Female,4,0,36,Thailand,<=50K
54,Private,186173,HS-grad,9,Married-spouse-absent,Craft-repair,Unmarried,White,Female,0,0,37,United-States,<=50K
29,?,210739,HS-grad,9,Never-married,?,Other-relative,Black,Male,22,0,40,United-States,<=50K
69,Private,154079,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,1,57,United-States,<=50K
45,Private,274558,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,1,40,United-States,<=50K
24,Private,188968,Assoc-acdm,13,Never-married,Adm-clerical,Own-child,White,Female,6,0,40,United-States,<=50K
22,Private,124753,Some-college,10,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,40,United-States,<=50K
37,Private,127790,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,2,0,40,Cuba,<=50K
29,Private,350403,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,99,United-States,<=50K
40,Private,187897,9th,11,Divorced,Priv-house-serv,Unmarried,White,Female,19,0,36,El-Salvador,<=50K
19,Private,242975,1st-4th,2,Never-married,Farming-fishing,Other-relative,Black,Male,24,1,34,El-Salvador,<=50K
50,Private,580991,Preschool,2,Married-civ-spouse,Priv-house-serv,Wife,Amer-Indian-Eskimo,Male,10,0,40,Mexico,<=50K
25,Private,201696,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
35,Local-gov,154672,Some-college,10,Divorced,Other-service,Not-in-family,Asian-Pac-Islander,Female,0,0,30,Philippines,<=50K
38,Federal-gov,299021,Some-college,14,Married-civ-spouse,Prof-specialty,Other-relative,Black,Male,0,0,40,Iran,<=50K
37,Private,260041,HS-grad,9,Separated,Other-service,Unmarried,Black,Female,6,0,30,United-States,<=50K
41,Private,180380,Some-college,10,Widowed,Other-service,Other-relative,Black,Male,0,0,40,United-States,<=50K
26,Self-emp-not-inc,139255,Some-college,10,Never-married,Prof-specialty,Not-in-family,Black,Male,12,0,40,United-States,<=50K
37,Federal-gov,225848,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,United-States,>50K
52,Private,84846,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,17,0,44,United-States,<=50K
19,Private,198670,11th,5,Never-married,Other-service,Other-relative,White,Male,34,0,40,United-States,<=50K
32,Private,217567,Assoc-acdm,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,Hong,<=50K
23,Local-gov,85137,Bachelors,13,Divorced,Other-service,Not-in-family,Asian-Pac-Islander,Female,0,0,36,South,<=50K
24,Private,166479,Bachelors,6,Married-civ-spouse,Sales,Husband,White,Male,6,0,44,Haiti,<=50K
45,Private,190794,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,19,0,40,Germany,>50K
27,Private,392989,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,8,0,49,United-States,>50K
35,Private,32030,Prof-school,5,Married-civ-spouse,Tech-support,Husband,White,Male,22,0,50,United-States,<=50K
50,Private,171807,Bachelors,13,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
41,Private,127316,9th,6,Married-civ-spouse,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Male,5,0,60,Cambodia,<=50K
40,Private,334681,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,3,1,40,United-States,<=50K
19,Private,226887,HS-grad,9,Never-married,Sales,Own-child,White,Male,4,0,30,United-States,<=50K
24,Private,129139,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
43,Private,191874,9th,6,Divorced,Exec-managerial,Unmarried,White,Female,18,0,40,United-States,<=50K
43,Private,181021,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Male,12,0,40,United-States,<=50K
18,?,48422,Bachelors,13,Never-married,?,Own-child,White,Male,0,0,11,United-States,<=50K
42,Local-gov,206618,10th,6,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,1,40,United-States,<=50K
32,Private,290604,7th-8th,4,Never-married,Craft-repair,Not-in-family,White,Male,12,0,45,United-States,<=50K
38,Private,213448,1st-4th,2,Divorced,Priv-house-serv,Other-relative,White,Female,11,0,8,Mexico,<=50K
34,Self-emp-not-inc,113122,Some-college,10,Married-civ-spouse,Transport-moving,Husband,Asian-Pac-Islander,Male,0,0,50,Outlying-US(Guam-USVI-etc),<=50K
37,Private,164796,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Male,16,0,60,United-States,<=50K
45,Private,190673,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
28,Private,41221,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,10,1,45,United-States,<=50K
59,Private,127003,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,6,0,40,United-States,<=50K
34,Private,207231,Some-college,13,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,Philippines,<=50K
45,Private,228607,10th,7,Married-civ-spouse,Farming-fishing,Wife,White,Female,4,0,16,United-States,>50K
42,Private,184787,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,46,United-States,>50K
48,Private,123329,12th,6,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Female,7,0,40,Vietnam,<=50K
24,Private,206876,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,15,0,40,United-States,<=50K
29,?,182564,Bachelors,13,Never-married,?,Own-child,White,Male,10,0,29,United-States,<=50K
20,?,347641,HS-grad,9,Never-married,?,Own-child,White,Male,27,0,11,United-States,<=50K
33,Private,163638,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,23,1911,83,United-States,>50K
44,Private,185397,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,11,0,40,South,<=50K
17,Private,168464,11th,7,Never-married,Other-service,Not-in-family,White,Male,5,0,40,United-States,<=50K
30,Private,188258,Doctorate,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,13,1,45,United-States,>50K
23,?,550864,HS-grad,9,Never-married,?,Not-in-family,White,Female,14,0,30,United-States,<=50K
34,Private,473839,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,87,United-States,>50K
29,Private,54652,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,7,0,45,United-States,<=50K
63,Private,120676,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
26,Private,100426,Assoc-acdm,13,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,0,40,South,<=50K
24,Private,159582,Some-college,10,Divorced,Sales,Not-in-family,White,Female,7,0,8,United-States,<=50K
26,Without-pay,163303,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,2,0,40,United-States,<=50K
25,Local-gov,215111,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Female,8,0,40,United-States,<=50K
44,Private,189659,Some-college,10,Never-married,Exec-managerial,Other-relative,White,Female,0,0,40,United-States,<=50K
26,Local-gov,153357,12th,6,Married-civ-spouse,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Male,10,0,40,Germany,<=50K
29,Local-gov,410380,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,19,0,23,United-States,<=50K
58,Local-gov,24040,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,1,40,United-States,<=50K
29,Private,32081,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,13,0,68,United-States,<=50K
50,State-gov,150648,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Male,4,1,40,United-States,<=50K
49,Private,41839,7th-8th,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,40,Cambodia,<=50K
22,Private,25448,11th,7,Never-married,Handlers-cleaners,Own-child,Black,Female,18,0,29,United-States,<=50K
51,Private,33739,12th,6,Widowed,Other-service,Unmarried,White,Female,5,1,30,United-States,<=50K
49,Self-emp-not-inc,101581,1st-4th,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,7,0,40,United-States,<=50K
48,Never-worked,226511,Assoc-acdm,12,Never-married,?,Unmarried,White,Male,16,0,40,United-States,<=50K
49,?,191906,HS-grad,9,Widowed,?,Not-in-family,White,Female,15,0,40,?,>50K
52,Local-gov,190672,Some-college,10,Married-civ-spouse,Adm-clerical,Unmarried,White,Female,0,0,19,United-States,<=50K
17,Private,207276,HS-grad,9,Never-married,Other-service,Own-child,White,Female,2,0,30,United-States,<=50K
24,Private,165541,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,21,0,40,United-States,<=50K
54,Private,178643,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,3,1,43,United-States,>50K
49,Federal-gov,48545,Some-college,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,7811,1,40,United-States,>50K
19,Private,271606,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,77,Germany,<=50K
39,Private,185390,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,7,0,40,United-States,<=50K
31,Private,45382,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,62,United-States,<=50K
50,Local-gov,189748,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,21,United-States,<=50K
45,Local-gov,251943,7th-8th,13,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,Scotland,<=50K
49,Self-emp-inc,194056,Masters,14,Divorced,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,0,40,Philippines,<=50K
33,Private,180563,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,9,0,40,United-States,<=50K
28,Private,27880,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,7,0,59,United-States,<=50K
42,Private,125459,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,17,1,40,United-States,<=50K
21,Private,271909,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,3,0,40,United-States,<=50K
24,Private,200225,Assoc-acdm,13,Never-married,Prof-specialty,Not-in-family,White,Male,22,0,40,Honduras,<=50K
35,Private,228124,HS-grad,9,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,0,40,China,<=50K
28,?,196983,HS-grad,9,Never-married,?,Not-in-family,Black,Male,20,0,40,United-States,<=50K
23,?,216498,HS-grad,9,Never-married,?,Own-child,White,Female,22,0,40,United-States,<=50K
47,Private,107663,Bachelors,13,Divorced,Adm-clerical,Not-in-family,Black,Female,4,0,40,United-States,<=50K
46,Private,210118,Some-college,10,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0,0,57,United-States,<=50K
43,Private,158675,Assoc-voc,11,Divorced,Adm-clerical,Unmarried,White,Female,28,0,31,United-States,<=50K
52,Private,31523,Masters,14,Divorced,Machine-op-inspct,Not-in-family,White,Female,16,0,40,United-States,<=50K
18,Private,193036,11th,7,Never-married,Sales,Own-child,White,Male,0,0,30,United-States,<=50K
55,?,173779,Assoc-acdm,13,Never-married,?,Not-in-family,White,Male,8,0,40,United-States,<=50K
20,Private,44870,9th,6,Never-married,Other-service,Own-child,Black,Female,2,0,15,United-States,<=50K
29,Local-gov,56613,Assoc-acdm,9,Married-civ-spouse,?,Husband,White,Male,12,0,45,Taiwan,<=50K
48,Private,162808,Some-college,10,Widowed,Sales,Not-in-family,White,Female,16,0,43,United-States,<=50K
63,?,267594,7th-8th,4,Divorced,?,Unmarried,White,Female,3,0,20,United-States,<=50K
49,Private,174161,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,23,0,40,United-States,<=50K
52,Private,245069,HS-grad,9,Widowed,Other-service,Unmarried,White,Female,0,0,29,United-States,<=50K
49,Private,178988,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,25,2003,44,United-States,<=50K
49,Private,183258,Assoc-acdm,3,Married-civ-spouse,Other-service,Husband,White,Male,18,0,40,United-States,<=50K
50,Private,294974,Assoc-acdm,13,Married-spouse-absent,Craft-repair,Unmarried,White,Female,3452,0,40,United-States,<=50K
26,Private,36468,11th,7,Never-married,Other-service,Not-in-family,Black,Male,37,0,35,United-States,<=50K
21,Private,194523,Assoc-acdm,9,Never-married,Other-service,Not-in-family,Black,Male,0,0,40,United-States,<=50K
45,Private,31288,Some-college,10,Married-AF-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,<=50K
56,?,152699,HS-grad,9,Never-married,?,Not-in-family,White,Female,18,0,40,United-States,<=50K
72,Local-gov,203323,HS-grad,9,Divorced,Prof-specialty,Unmarried,White,Female,15,0,22,United-States,<=50K
27,Private,260713,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,1,0,40,South,<=50K
21,?,137373,12th,14,Never-married,?,Own-child,White,Female,21,0,40,United-States,<=50K
23,Private,141235,Bachelors,13,Never-married,Tech-support,Own-child,White,Male,0,0,40,United-States,<=50K
19,Private,364581,HS-grad,9,Never-married,Machine-op-inspct,Own-child,Black,Male,0,0,40,United-States,<=50K
27,Federal-gov,193424,Assoc-voc,11,Never-married,Adm-clerical,Not-in-family,White,Female,17,0,40,United-States,<=50K
25,Self-emp-not-inc,262964,HS-grad,9,Married-AF-spouse,Other-service,Wife,Other,Female,0,0,17,Columbia,<=50K
61,Private,162991,11th,4,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0,0,45,Greece,<=50K
22,Private,329047,10th,5,Never-married,Other-service,Own-child,White,Male,2934,0,44,United-States,<=50K
47,Private,174949,Masters,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
58,Private,88719,Some-college,9,Divorced,Exec-managerial,Wife,White,Female,8,0,40,United-States,<=50K
22,?,174489,Some-college,10,Divorced,?,Own-child,White,Male,0,0,40,?,<=50K
39,Federal-gov,204133,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
48,Private,181054,5th-6th,2,Married-civ-spouse,Other-service,Husband,White,Male,0,1,35,Mexico,<=50K
22,?,132521,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Male,20,0,22,United-States,<=50K
47,Local-gov,170834,Masters,14,Divorced,Prof-specialty,Wife,White,Female,7722,1,40,Cuba,>50K
46,Private,161728,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,<=50K
28,Self-emp-not-inc,197747,Some-college,10,Married-spouse-absent,Farming-fishing,Unmarried,White,Male,5,0,59,United-States,<=50K
43,Local-gov,138014,Masters,14,Divorced,Machine-op-inspct,Not-in-family,White,Male,1,0,40,United-States,<=50K
21,Local-gov,221598,Assoc-acdm,13,Never-married,Prof-specialty,Other-relative,White,Male,0,0,35,United-States,<=50K
47,Private,279130,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,44,United-States,<=50K
24,Private,165490,Some-college,10,Never-married,Protective-serv,Not-in-family,White,Male,19,0,40,United-States,<=50K
38,Private,197521,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,20,0,56,?,>50K
25,Private,190919,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,Female,14,0,40,United-States,<=50K
31,Private,205872,Some-college,10,Never-married,Prof-specialty,Wife,Black,Male,16,0,40,Trinadad&Tobago,<=50K
43,Private,169255,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,7953,0,40,United-States,>50K
44,Private,268629,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Female,21,0,40,United-States,<=50K
32,Private,259713,HS-grad,9,Married-civ-spouse,Other-service,Husband,Other,Male,0,0,40,?,<=50K
23,?,57269,11th,7,Never-married,?,Own-child,White,Female,18,0,30,United-States,<=50K
25,Private,273082,9th,11,Never-married,Priv-house-serv,Not-in-family,White,Female,0,0,29,United-States,<=50K
26,Private,41281,Bachelors,13,Never-married,Prof-specialty,Husband,White,Male,6,0,44,United-States,<=50K
46,Private,264085,Assoc-acdm,13,Divorced,Machine-op-inspct,Unmarried,White,Female,1,0,50,United-States,<=50K
30,State-gov,203315,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Female,17,0,40,United-States,<=50K
26,State-gov,213486,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,11,0,40,United-States,<=50K
39,Federal-gov,268053,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,19,0,40,India,>50K
32,Private,207437,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,2,0,40,United-States,>50K
49,Self-emp-not-inc,247788,HS-grad,9,Widowed,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
50,Private,45597,5th-6th,3,Married-civ-spouse,Craft-repair,Husband,White,Male,11,1,86,Mexico,<=50K
